,AREA,INT_SQFT,N_BEDROOM,N_BATHROOM,N_ROOM,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,SALES_PRICE,AGE_YEARS
150,4,1488,2,1,4,0,2,2,1,4,8441900,26
151,3,1645,2,1,4,0,1,1,0,4,7579320,25
152,2,950,1,1,3,1,2,1,2,5,9759000,25
153,2,928,1,1,3,1,0,2,2,4,12423800,4
154,3,1693,2,1,4,1,0,1,1,6,15495760,53
155,3,1873,3,2,5,1,2,0,0,5,11022270,20
156,1,721,1,1,2,0,2,1,1,5,7605550,9
157,0,1190,1,1,3,1,1,1,2,4,7967750,28
158,4,1593,2,1,4,0,2,2,1,4,8946800,17
159,2,786,1,1,2,1,2,0,2,5,9244820,12
160,2,1195,1,1,3,0,2,1,1,5,9821600,18
162,4,1906,3,2,5,1,0,1,1,4,15852740,7
163,1,656,1,1,2,0,0,2,1,2,8757635,9
164,2,727,1,1,2,0,2,0,2,6,8415990,16
165,1,931,1,1,3,1,2,0,1,6,9935595,33
166,3,1898,3,2,5,1,0,0,0,6,16617860,38
167,5,1698,1,1,4,0,1,1,2,6,12412050,40
168,6,1926,2,1,5,1,0,1,0,6,22630540,17
169,0,1481,2,2,4,1,0,2,1,0,9901500,38
170,5,1506,1,1,4,0,1,0,0,6,10449910,32
171,2,1020,1,1,3,0,1,1,0,6,7948600,23
172,2,889,1,1,3,0,2,0,2,6,9098680,21
173,2,1015,1,1,3,1,1,2,1,4,8342850,35
174,6,1682,1,1,4,0,0,2,2,4,18662350,34
175,2,869,1,1,3,0,2,1,0,6,8172630,17
176,0,1445,2,2,4,0,1,1,0,2,5856500,24
177,5,1919,2,1,5,1,1,1,2,6,14704160,13
178,1,1243,2,2,4,1,0,1,1,1,13360440,36
179,0,857,1,1,2,0,1,0,1,2,4928250,16
180,0,1055,1,1,3,1,2,1,2,2,7315125,47
181,4,1778,3,2,5,0,2,1,2,5,10998320,7
182,0,851,1,1,2,0,2,0,1,0,3936375,41
183,2,1021,1,1,3,1,2,1,0,5,9201770,3
184,4,2203,3,2,5,1,0,1,1,5,17891240,21
185,0,613,1,1,2,0,0,1,0,2,5144500,29
187,0,1489,2,2,4,0,1,0,2,4,8007250,28
188,0,795,1,1,2,1,1,1,2,6,8479250,9
189,3,1909,3,2,5,1,2,2,2,0,10129160,33
190,2,1252,2,1,4,0,1,2,0,6,9482200,12
191,0,1077,1,1,3,0,0,0,1,6,9846750,33
192,4,1524,2,1,4,0,2,1,1,4,8675820,27
193,2,1049,1,1,3,1,1,0,2,6,10262450,11
194,3,1780,2,1,4,0,2,2,2,1,8671050,54
195,2,946,1,1,3,0,0,0,0,5,11165550,17
196,2,906,1,1,3,1,1,1,2,6,9464800,32
197,4,2344,4,2,6,0,0,1,2,6,18849880,24
198,1,929,1,1,3,1,2,1,1,4,9480425,15
199,5,1843,2,1,5,0,1,0,0,5,12264750,14
200,5,1918,2,1,5,1,0,2,2,5,21875050,34
201,4,1507,2,1,4,1,0,2,1,4,13538580,18
202,4,1499,2,1,4,0,1,2,2,4,8876320,6
203,4,1526,2,1,4,1,0,2,1,4,13645040,21
204,5,1855,2,1,5,1,0,1,1,4,20996200,10
205,0,1627,2,2,4,1,2,0,1,4,9071125,30
206,3,1846,3,2,5,0,1,2,2,6,10815830,38
207,4,2019,3,2,5,1,2,1,1,6,12802500,15
209,3,1780,2,1,4,1,0,1,0,1,13346700,25
210,0,662,1,1,2,0,0,1,0,1,4356500,38
211,2,1005,1,1,3,0,0,1,2,5,12257100,26
212,0,839,1,1,2,0,1,1,1,1,4100500,20
213,5,1698,1,1,4,0,1,2,0,6,11527430,33
214,1,878,1,1,3,1,1,1,1,0,6452785,19
215,2,835,1,1,3,1,1,0,1,6,8434750,37
216,2,911,1,1,3,1,2,0,0,4,7427820,33
217,3,1796,2,1,4,1,1,0,0,4,9105350,50
218,0,1004,1,1,3,0,2,0,0,1,4721500,28
219,5,1694,1,1,4,0,2,1,1,5,12575010,27
220,0,1244,1,1,3,1,2,2,2,2,7952750,31
221,0,588,1,1,2,0,2,2,1,5,5705500,24
222,4,2342,4,2,6,1,1,1,1,5,12898740,6
223,3,1835,3,2,5,0,2,2,1,5,10722580,28
224,5,1977,2,1,5,1,1,2,2,5,14102960,43
225,4,1961,3,2,5,1,0,1,2,6,17612900,14
226,3,1517,2,1,4,1,1,1,0,0,7146890,12
227,4,2409,4,2,6,1,2,1,2,5,13476480,25
228,3,1864,3,2,5,0,0,0,2,4,15100560,23
229,3,1643,2,1,4,1,0,2,1,6,15599020,31
230,1,1015,1,1,3,1,0,1,0,1,11224620,8
231,5,1700,1,1,4,1,2,1,0,4,12477040,31
232,0,624,1,1,2,0,0,0,0,1,4396250,31
233,2,980,1,1,3,0,0,1,1,5,11900750,17
234,0,1003,1,1,3,1,0,1,2,4,10090000,20
235,1,1072,1,1,3,1,1,1,0,0,6607690,6
236,0,808,1,1,2,0,1,1,2,1,4752250,35
237,2,1027,1,1,3,0,1,0,1,4,7441350,21
238,0,696,1,1,2,0,1,1,2,5,6441250,11
239,3,1716,2,1,4,1,1,0,1,5,10359860,8
240,3,1878,3,2,5,0,0,2,1,1,14328720,6
241,4,1699,2,1,4,1,2,1,2,5,11444100,16
242,4,1626,2,1,4,0,1,2,1,6,9680280,23
243,4,1730,2,1,4,0,0,1,2,5,14739360,18
244,2,996,1,1,3,0,2,0,2,5,8939620,21
245,2,1277,2,1,4,1,0,2,0,6,15710400,16
246,2,906,1,1,3,0,0,1,1,4,10226600,31
247,5,1976,2,1,5,0,1,1,1,5,12300050,39
249,0,1402,2,2,4,0,1,1,2,2,6966500,30
250,2,1160,1,1,3,1,2,2,0,4,9463900,30
251,3,1957,3,2,5,1,0,0,0,2,15199450,25
252,6,1887,2,1,5,0,0,1,0,5,20499450,20
253,3,1859,3,2,5,1,1,0,1,4,9925210,47
254,2,747,1,1,2,1,0,2,0,6,11223550,5
255,1,985,1,1,3,1,1,1,1,1,7379505,7
256,2,1024,1,1,3,1,0,2,0,4,12091400,16
257,3,1600,2,1,4,1,2,0,1,5,10530200,25
258,2,1276,2,1,4,0,2,1,1,5,9604120,36
259,2,1159,1,1,3,1,1,0,2,4,9062800,36
260,0,1024,1,1,3,1,1,1,0,1,4748500,50
262,2,839,1,1,3,1,2,2,2,4,9107430,16
263,2,1286,2,1,4,0,1,2,0,6,9153300,34
264,4,2467,4,2,6,0,1,2,2,5,12650920,15
265,0,653,1,1,2,0,0,0,0,6,7635250,15
266,0,606,1,1,2,1,2,1,2,6,7854000,17
267,6,1837,2,1,5,1,1,0,0,5,13197230,28
268,3,1880,3,2,5,1,0,1,0,1,13669670,46
269,4,2189,3,2,5,1,0,2,2,4,18249860,22
270,3,1853,3,2,5,1,0,1,1,1,14707330,49
271,2,1057,1,1,3,0,2,2,1,5,9144840,17
272,1,723,1,1,2,0,0,0,2,6,10969920,27
273,6,1812,2,1,5,0,2,0,0,5,12248640,44
274,6,1788,1,1,4,1,2,0,0,5,14225180,16
275,3,1615,2,1,4,0,1,0,1,2,8019280,18
276,5,1755,1,1,4,0,1,1,0,5,11410310,43
277,1,1296,2,2,4,0,1,2,0,6,9950600,20
278,4,1554,2,1,4,1,1,1,1,5,9980320,6
279,5,1737,1,1,4,1,1,2,2,5,14292780,9
280,0,785,1,1,2,1,2,2,0,2,5752875,12
281,0,1678,2,2,4,1,0,1,2,1,11883250,35
282,4,2360,4,2,6,1,0,1,1,6,19816180,9
283,4,1464,2,1,4,1,2,1,1,4,9394640,28
285,3,1755,2,1,4,1,2,0,0,1,8762820,25
286,3,1556,2,1,4,0,2,1,1,5,9348100,20
287,1,1170,1,1,3,0,1,1,2,4,9134740,36
288,1,901,1,1,3,0,2,2,2,2,7643255,37
289,0,1160,1,1,3,1,0,1,2,0,8886250,19
290,0,1570,2,2,4,1,1,1,0,0,6407000,8
291,0,1476,2,2,4,0,0,1,1,5,11536000,32
292,0,586,1,1,2,1,2,0,1,2,5333000,19
293,0,1059,1,1,3,1,1,2,1,5,7849250,33
294,6,1712,1,1,4,1,1,1,2,5,13797720,6
295,1,847,1,1,3,0,2,1,2,4,7492300,39
296,0,1192,1,1,3,0,1,1,0,2,5342250,23
297,3,1942,3,2,5,1,0,2,0,5,16212650,25
298,0,557,1,1,2,1,2,0,0,2,4710125,17
299,3,1728,2,1,4,1,0,0,2,2,14898480,19
300,3,1798,2,1,4,1,0,2,2,6,17060380,28
301,0,1497,2,2,4,1,1,2,2,0,6931750,34
302,2,1173,1,1,3,1,1,1,0,4,8196400,32
303,5,1640,1,1,4,1,0,1,0,4,17704670,36
304,4,1747,2,1,4,1,2,1,1,5,10784680,16
305,0,1342,2,2,4,1,0,0,0,2,9594250,43
306,6,2000,2,1,5,0,1,1,0,6,13596890,27
307,3,1987,3,2,5,0,2,1,2,4,11156320,11
308,0,1567,2,2,4,0,2,2,2,1,7725875,16
309,0,1188,1,1,3,0,0,2,0,6,9819500,34
310,1,737,1,1,2,0,1,1,0,0,3869180,32
311,0,785,1,1,2,1,2,1,1,1,5852625,13
313,1,647,1,1,2,1,0,2,0,4,9574550,10
314,0,1171,1,1,3,1,2,2,0,0,6102625,16
315,4,2435,4,2,6,1,0,1,2,6,20246360,18
316,3,1805,3,2,5,1,0,2,1,5,16930470,15
317,0,1145,1,1,3,0,1,2,2,0,5510250,17
318,0,971,1,1,3,0,1,2,1,5,6530500,27
319,0,1657,2,2,4,1,2,1,2,5,10147125,38
320,3,1638,2,1,4,1,1,1,0,4,9705900,5
321,1,1284,2,2,4,1,0,0,1,5,16107475,5
322,1,1273,2,2,4,0,2,0,0,0,7451690,5
323,2,1185,1,1,3,1,1,0,2,5,10163000,20
324,6,1538,1,1,4,1,0,1,2,5,19376950,5
325,4,1929,3,2,5,0,2,2,1,4,10173980,29
326,4,1656,2,1,4,1,1,1,1,6,10910100,15
327,1,1287,2,2,4,1,0,1,2,2,15013625,15
328,6,1749,1,1,4,0,2,1,0,4,11713410,32
330,6,1962,2,1,5,1,2,1,1,6,15862990,33
331,4,1425,2,1,4,0,1,1,1,5,8677280,14
332,0,884,1,1,2,1,0,1,1,2,8282500,25
333,2,1052,1,1,3,0,2,1,0,4,7926740,10
334,6,1756,1,1,4,0,1,1,2,5,12093570,31
335,0,523,1,1,2,1,1,2,2,6,7390000,37
336,3,1524,2,1,4,1,2,1,1,6,11053290,22
337,6,1949,2,1,5,1,2,1,0,6,14464930,43
338,2,1263,2,1,4,0,2,1,2,5,10637010,22
339,4,1917,3,2,5,1,1,2,1,5,11045960,18
340,4,1401,2,1,4,0,1,1,1,4,7410200,19
341,2,723,1,1,2,0,2,2,2,6,8645860,17
342,6,1660,1,1,4,0,0,1,1,4,17787740,37
343,2,895,1,1,3,1,1,0,2,4,8514750,5
344,5,1889,2,1,5,1,1,0,2,6,13841050,45
345,2,1199,1,1,3,0,2,1,1,4,9160580,25
346,0,782,1,1,2,1,0,2,0,2,7794500,14
347,5,1571,1,1,4,1,2,1,1,5,12946530,25
348,4,1848,3,2,5,1,0,1,1,5,15883280,24
349,2,1131,1,1,3,1,2,1,0,5,10089670,20
350,0,1062,1,1,3,1,1,2,0,0,5335750,21
351,4,1983,3,2,5,1,1,2,1,6,12126880,24
352,3,1572,2,1,4,0,1,1,2,1,8165450,20
353,5,1535,1,1,4,0,2,0,2,4,11484740,31
354,6,1818,2,1,5,1,0,1,2,6,22024740,32
356,4,2189,3,2,5,0,2,1,2,4,12071880,15
357,2,1203,2,1,4,0,0,2,0,5,12925550,17
358,4,1610,2,1,4,1,0,2,2,6,15387480,23
359,1,863,1,1,3,1,1,1,1,0,6637005,7
360,0,985,1,1,3,0,2,2,2,5,7446875,20
361,0,1623,2,2,4,0,0,2,1,4,11658500,38
362,1,1019,1,1,3,0,1,0,2,1,6663435,28
363,0,1575,2,2,4,1,1,1,1,6,9894250,8
364,2,802,1,1,3,0,2,1,0,6,7968490,8
365,6,1846,2,1,5,0,2,1,0,4,12403760,34
366,2,759,1,1,2,0,2,2,1,5,8149280,15
367,4,2060,3,2,5,0,0,1,1,5,16012600,30
368,4,1503,2,1,4,1,2,1,2,6,11121040,19
369,3,1853,3,2,5,1,1,1,0,5,9462230,48
370,6,1739,1,1,4,1,0,1,1,5,20477590,37
371,0,766,1,1,2,1,0,1,1,6,8755500,50
372,2,857,1,1,3,1,2,2,0,5,8471590,26
373,6,1887,2,1,5,0,1,0,2,6,13024030,38
374,0,1502,2,2,4,0,1,1,0,6,8215250,7
375,3,1568,2,1,4,0,2,1,0,0,6361850,30
376,2,918,1,1,3,0,0,1,0,6,10929300,22
377,1,1289,2,2,4,0,0,2,2,4,14634500,40
378,4,1941,3,2,5,0,2,1,2,6,12228420,20
379,3,1730,2,1,4,1,2,1,0,5,10494410,23
380,3,1513,2,1,4,1,0,0,2,0,12350640,27
381,3,1762,2,1,4,1,1,1,0,4,9071080,24
382,5,1970,2,1,5,1,1,2,0,4,12450910,33
383,3,1702,2,1,4,0,0,1,0,2,12225650,44
384,3,1726,2,1,4,0,1,1,0,1,6804640,21
385,2,1243,2,1,4,1,0,1,2,5,15495150,8
386,3,1550,2,1,4,1,0,0,2,0,12456680,14
387,4,1830,3,2,5,1,0,2,2,4,16312280,14
388,0,1435,2,2,4,1,1,1,2,6,9753250,33
389,3,1729,2,1,4,1,2,0,1,4,10629750,5
390,6,1572,1,1,4,1,0,2,2,6,20715860,18
391,2,1145,1,1,3,1,0,1,2,4,14297200,16
392,2,1043,1,1,3,1,2,0,0,4,8317410,29
393,0,1332,1,1,3,0,2,1,1,6,8261500,44
394,0,608,1,1,2,1,0,0,0,2,6206250,14
395,1,676,1,1,2,1,0,1,0,2,8400465,31
396,3,1685,2,1,4,1,2,1,2,4,11104320,36
397,1,658,1,1,2,0,2,1,2,1,6083885,38
398,2,1008,1,1,3,0,2,1,1,5,8836160,32
399,5,1924,2,1,5,0,2,0,0,6,13620040,31
400,4,2112,3,2,5,0,0,1,2,4,16756460,13
401,2,917,1,1,3,1,0,1,2,4,11889950,37
403,5,1694,1,1,4,1,2,2,1,5,14054970,20
404,5,1625,1,1,4,1,0,2,0,4,18316110,43
405,5,1882,2,1,5,1,2,2,0,5,14761860,5
406,6,1924,2,1,5,1,0,2,0,6,22123260,23
407,2,894,1,1,3,0,0,1,0,6,10882400,28
408,0,904,1,1,3,1,2,1,0,5,6863000,39
409,1,1279,2,2,4,0,1,1,2,4,9792910,33
410,3,1547,2,1,4,0,2,0,2,6,10090590,47
411,0,626,1,1,2,0,1,2,1,4,5072750,25
412,6,1673,1,1,4,0,2,1,0,6,12156320,44
413,2,1296,2,1,4,1,2,1,2,4,10741020,14
414,4,2194,3,2,5,0,0,1,2,4,16805520,6
415,4,1678,2,1,4,0,0,1,1,5,13586120,15
416,2,702,1,1,2,1,1,0,0,6,8021300,17
417,1,1067,1,1,3,1,1,0,0,4,7960405,27
418,2,980,1,1,3,1,0,1,1,4,11847350,25
419,4,1989,3,2,5,1,1,1,1,6,11985600,20
420,2,1257,2,1,4,0,0,1,1,5,13788450,34
421,2,1069,1,1,3,1,2,2,2,4,10080280,21
422,0,606,1,1,2,0,0,1,0,5,6564750,13
423,0,1449,2,2,4,1,1,1,2,5,8861500,36
424,0,1154,1,1,3,0,1,1,1,6,7880000,12
425,1,927,1,1,3,0,0,1,2,6,12682895,33
426,0,1613,2,2,4,1,2,0,2,5,10169625,31
427,3,1851,3,2,5,1,1,2,2,6,11959100,55
428,3,1511,2,1,4,0,0,1,0,1,10391900,45
429,4,1765,2,1,4,0,2,1,1,4,9338880,29
430,0,1238,1,1,3,1,0,0,0,6,11329750,17
431,2,934,1,1,3,1,1,0,2,4,8469050,22
432,2,754,1,1,2,1,1,1,1,5,7705800,35
433,6,1736,1,1,4,1,2,2,1,5,14057180,10
434,2,980,1,1,3,1,1,1,2,4,8621500,33
435,0,1299,1,1,3,0,0,1,1,2,9338500,46
436,0,849,1,1,2,0,2,1,1,4,5668875,36
438,6,1634,1,1,4,1,1,1,1,6,12730270,31
439,0,1320,1,1,3,1,0,1,1,2,11071500,6
440,2,769,1,1,2,1,1,0,0,4,7261650,7
441,0,1150,1,1,3,1,1,1,2,2,6982000,32
442,2,908,1,1,3,0,2,2,1,4,7546960,36
443,0,1668,2,2,4,1,0,0,2,4,13650500,5
444,4,1990,3,2,5,0,1,1,2,4,10652120,5
445,5,1857,2,1,5,0,2,1,2,4,13378610,35
446,4,2061,3,2,5,1,0,1,2,5,17265880,14
447,4,1668,2,1,4,0,1,2,2,5,10044620,11
448,4,1444,2,1,4,0,1,2,2,5,9153720,25
449,2,1121,1,1,3,1,2,1,1,4,9089520,28
450,4,1514,2,1,4,1,1,1,1,4,9075660,22
451,2,1256,2,1,4,1,1,2,0,5,9957800,3
452,0,672,1,1,2,1,2,1,0,4,5805250,19
453,1,908,1,1,3,1,0,2,2,5,13087155,37
454,0,1631,2,2,4,1,1,0,1,5,9314000,18
455,1,1001,1,1,3,1,2,2,2,5,10533755,36
456,3,1618,2,1,4,0,0,2,1,0,11462310,48
457,4,2340,4,2,6,1,2,1,1,4,12948200,20
458,0,1159,1,1,3,0,2,1,0,4,6149625,50
459,3,1775,2,1,4,1,2,2,1,4,11031600,25
460,2,1008,1,1,3,0,0,1,2,6,12713050,19
461,3,1563,2,1,4,1,0,2,1,6,15664740,11
462,4,1723,2,1,4,1,1,2,2,5,11265520,5
463,3,1543,2,1,4,0,0,0,0,6,12900790,46
464,2,1231,2,1,4,0,2,0,2,5,10271420,28
465,6,1995,2,1,5,0,2,1,1,5,14154840,32
466,4,2113,3,2,5,0,2,1,1,6,12160420,28
467,6,1849,2,1,5,1,0,1,2,6,22084180,24
468,2,1095,1,1,3,1,2,1,1,4,9953350,12
469,0,1057,1,1,3,0,0,1,1,4,8788500,46
470,0,841,1,1,2,1,1,1,2,2,6266250,25
471,1,693,1,1,2,1,1,0,2,1,6879510,33
472,5,1666,1,1,4,0,1,2,2,5,11991280,24
473,6,1517,1,1,4,1,0,2,2,6,19817860,43
474,5,1854,2,1,5,0,0,2,2,4,19766360,42
475,1,789,1,1,2,0,0,2,1,0,8098070,38
476,2,760,1,1,2,1,1,0,1,5,8274000,3
477,2,1137,1,1,3,0,2,2,1,4,8912540,11
478,5,1687,1,1,4,1,0,0,2,4,19609810,13
480,0,1662,2,2,4,0,0,2,2,4,12825500,14
481,1,1065,1,1,3,0,2,1,1,2,8717385,19
482,4,1621,2,1,4,0,2,1,1,6,9928200,29
483,2,703,1,1,2,1,2,1,0,6,8231860,21
484,2,1221,2,1,4,0,2,1,2,5,9833270,33
485,4,1577,2,1,4,0,0,1,2,4,13277420,11
486,2,989,1,1,3,1,2,1,1,6,10613930,3
487,4,1368,2,1,4,1,2,2,2,5,10801520,27
488,4,2365,4,2,6,1,0,1,1,5,18637600,30
489,5,1525,1,1,4,0,0,2,1,5,17566590,32
490,1,1180,1,1,3,1,1,1,1,2,9397585,19
491,0,1122,1,1,3,0,2,1,2,2,6889250,18
492,5,1775,1,1,4,1,0,2,1,4,19512010,33
493,5,1877,2,1,5,0,2,2,0,5,13064510,30
494,2,760,1,1,2,0,1,2,2,6,8386750,17
495,4,2297,4,2,6,0,2,2,1,4,11569680,17
496,0,787,1,1,2,1,2,1,2,5,7825375,8
497,4,2317,4,2,6,0,1,1,1,4,10502160,28
498,0,749,1,1,2,1,1,1,2,1,5286000,34
